clean_questions,clean_answer,questions,answers
tombol sulit ditemukan manset celana,ide bagus,tombol sulit ditemukan. apakah Anda melihat di manset celana Anda?,itu ide yang bagus.
ide bagus,menemukan tombol manset celana kali,itu ide yang bagus.,saya menemukan sebuah tombol di manset celana saya satu kali.
menemukan tombol manset celana kali,mari lihat,saya menemukan sebuah tombol di manset celana saya satu kali.,"Mari saya lihat. tidak, tidak ada."
mari lihat,kemeja dilengkapi kancing ekstra,"Mari saya lihat. tidak, tidak ada.",banyak kemeja dilengkapi dengan kancing ekstra.
kemeja dilengkapi kancing ekstra,memiliki tombol tambahan,banyak kemeja dilengkapi dengan kancing ekstra.,kamu benar. yang satu ini memang memiliki tombol tambahan.
memiliki tombol tambahan,lakukan menjahitnya,kamu benar. yang satu ini memang memiliki tombol tambahan.,sekarang yang harus Anda lakukan adalah menjahitnya.
pergi kamar mandi,minum kopi,saya harus pergi ke kamar mandi.,Anda minum kopi terlalu banyak.
minum kopi,suka kopi,Anda minum kopi terlalu banyak.,tapi saya suka kopi.
suka kopi,hidupmu,tapi saya suka kopi.,"baik, itu hidupmu."
hidupmu,makan coklat,"baik, itu hidupmu.",kamu makan terlalu banyak coklat.
makan coklat,,kamu makan terlalu banyak coklat.,saya rasa tidak.
,bercermin,saya rasa tidak.,apakah kamu sudah bercermin?
bercermin,pikir bertambah gemuk,apakah kamu sudah bercermin?,apakah kamu pikir aku bertambah gemuk?
pikir bertambah gemuk,,apakah kamu pikir aku bertambah gemuk?,saya tidak mengatakan itu.
,katamu,saya tidak mengatakan itu.,apa katamu?
katamu,bilang pergi kamar mandi,apa katamu?,saya bilang saya harus pergi ke kamar mandi.
bilang pergi kamar mandi,pikir,saya bilang saya harus pergi ke kamar mandi.,itulah yang saya pikir Anda katakan.
mencuci pakaian,ya lakukan,apakah kamu mencuci pakaian?,ya saya lakukan.
ya lakukan,cuci,ya saya lakukan.,apa yang kamu cuci?
cuci,mencuci seprai handuk,apa yang kamu cuci?,saya mencuci seprai dan handuk.
mencuci seprai handuk,sarung bantalnya,saya mencuci seprai dan handuk.,bagaimana dengan sarung bantalnya?
sarung bantalnya,ya melepasnya bantal mencucinya,bagaimana dengan sarung bantalnya?,"ya, saya melepasnya dari bantal dan mencucinya."
ya melepasnya bantal mencucinya,mengeringkan pengering,"ya, saya melepasnya dari bantal dan mencucinya.",apakah kamu mengeringkan semuanya di pengering?
mengeringkan pengering,ya mengeringkan pengering,apakah kamu mengeringkan semuanya di pengering?,"ya, saya mengeringkan semuanya di pengering."
ya mengeringkan pengering,lakukan,"ya, saya mengeringkan semuanya di pengering.",lalu apa yang kamu lakukan?
lakukan,melipat handuk,lalu apa yang kamu lakukan?,saya melipat semua handuk.
melipat handuk,meletakkan seprai tidur,saya melipat semua handuk.,apakah kamu meletakkan seprai di tempat tidur?
meletakkan seprai tidur,ya meletakkan sarung bantal bantal,apakah kamu meletakkan seprai di tempat tidur?,"ya, dan saya meletakkan sarung bantal di atas bantal."
mendengarkan radio,mendengarkan siang malam,apa kamu mendengarkan radio?,saya mendengarkan siang dan malam.
mendengarkan siang malam,dengarkan,saya mendengarkan siang dan malam.,apa yang kamu dengarkan?
dengarkan,kebanyakan berbicara radio,apa yang kamu dengarkan?,kebanyakan berbicara radio.
kebanyakan berbicara radio,,kebanyakan berbicara radio.,apa itu?
,orang berbicara peristiwa terkini,apa itu?,orang berbicara tentang peristiwa terkini.
orang berbicara peristiwa terkini,,orang berbicara tentang peristiwa terkini.,apa yang mereka katakan?
,bilang perubahan,apa yang mereka katakan?,mereka bilang ingin perubahan.
bilang perubahan,jenis perubahan,mereka bilang ingin perubahan.,jenis perubahan apa?
jenis perubahan,pemotongan pajak,jenis perubahan apa?,mereka ingin pemotongan pajak.
pemotongan pajak,pemotongan pajak,mereka ingin pemotongan pajak.,mengapa mereka menginginkan pemotongan pajak?
pemotongan pajak,pemotongan pajak menghemat uang,mengapa mereka menginginkan pemotongan pajak?,karena pemotongan pajak akan menghemat uang mereka.
lapar,lihat lemari es,ibu saya lapar.,lihat di lemari es.
lihat lemari es,mencari dimakan,lihat di lemari es.,saya mencari. tidak ada yang bisa dimakan.
mencari dimakan,,saya mencari. tidak ada yang bisa dimakan.,apakah kamu yakin
,kosong,apakah kamu yakin,hampir kosong.
kosong,pergi pasar kemarin,hampir kosong.,saya pergi ke pasar kemarin.
pergi pasar kemarin,apaapa,saya pergi ke pasar kemarin.,saya tidak melihat apa-apa.
apaapa,membeli jeruk apel,saya tidak melihat apa-apa.,saya membeli banyak jeruk dan apel.
membeli jeruk apel,buah enak,saya membeli banyak jeruk dan apel.,saya tidak ingin buah. saya ingin sesuatu yang enak.
buah enak,makan buahnya bagus,saya tidak ingin buah. saya ingin sesuatu yang enak.,makan buahnya. Itu bagus untuk Anda.
makan buahnya bagus,kali pergi pasar biarkan pergi,makan buahnya. Itu bagus untuk Anda.,"lain kali Anda pergi ke pasar, biarkan saya pergi dengan Anda."
kali pergi pasar biarkan pergi,terima kasih makan hot dog permen,"lain kali Anda pergi ke pasar, biarkan saya pergi dengan Anda.",tidak terima kasih. yang ingin Anda makan hanyalah hot dog dan permen.
dimakan,lihat lemari es,apa yang bisa dimakan?,saya tidak tahu lihat di lemari es.
lihat lemari es,pikir sandwich,saya tidak tahu lihat di lemari es.,saya pikir saya akan membuat sandwich.
pikir sandwich,jenis,saya pikir saya akan membuat sandwich.,jenis apa?
jenis,sandwich ham,jenis apa?,sandwich ham.
sandwich ham,rotinya lemari,sandwich ham.,rotinya ada di dalam lemari.
rotinya lemari,dimana mosternya,rotinya ada di dalam lemari.,dimana mosternya?
dimana mosternya,lemari es kurasa,dimana mosternya?,"itu ada di lemari es, kurasa."
lemari es kurasa,oh ya sandwich,"itu ada di lemari es, kurasa.","oh, ya, ini dia. apakah kamu mau sandwich?"
oh ya sandwich,ya kedengarannya bagus,"oh, ya, ini dia. apakah kamu mau sandwich?","ya, kedengarannya bagus."
ya kedengarannya bagus,keripik kentang,"ya, kedengarannya bagus.",bagaimana dengan keripik kentang?
keripik kentang,iya acar,bagaimana dengan keripik kentang?,"Iya. dan acar, jika kita punya."
mandi nona muda,bu kotor,"ini waktunya mandi, nona muda.","tapi, bu, aku tidak kotor."
bu kotor,mandi,"tapi, bu, aku tidak kotor.",Anda perlu mandi setiap hari.
mandi,,Anda perlu mandi setiap hari.,Mengapa?
,berbau sedap,Mengapa?,karena Anda tidak ingin berbau tidak sedap.
berbau sedap,bau,karena Anda tidak ingin berbau tidak sedap.,saya tidak bau.
bau,kau pikirkan,saya tidak bau.,Itu yang kau pikirkan.
kau pikirkan,berbau enak mencium bau,Itu yang kau pikirkan.,"jika saya berbau tidak enak, saya bisa mencium bau saya."
berbau enak mencium bau,menciummu,"jika saya berbau tidak enak, saya bisa mencium bau saya.",aku bisa menciummu.
menciummu,menciummu,aku bisa menciummu.,aku bisa menciummu juga.
menciummu,parfum,aku bisa menciummu juga.,itulah parfum saya.
parfum,memakai parfum,itulah parfum saya.,kapan saya bisa memakai parfum?
salah komputer,tepatnya,ada yang salah dengan komputer saya.,tepatnya apa?
tepatnya,dapatkan layar hitam,tepatnya apa?,yang saya dapatkan hanyalah layar hitam.
dapatkan layar hitam,,yang saya dapatkan hanyalah layar hitam.,apa masalahnya?
,,apa masalahnya?,"Saya rasa saya tahu, karena ini terjadi sebelumnya."
,,"Saya rasa saya tahu, karena ini terjadi sebelumnya.",apa yang terjadi sebelumnya?
,hard drive macet,apa yang terjadi sebelumnya?,hard drive saya macet.
hard drive macet,oh kabar buruk,hard drive saya macet.,Oh tidak. itu kabar buruk.
oh kabar buruk,menelepon hp,Oh tidak. itu kabar buruk.,"itu pasti, tapi saya akan menelepon hp dulu, hanya untuk memastikan."
menelepon hp,kehilangan file,"itu pasti, tapi saya akan menelepon hp dulu, hanya untuk memastikan.",akankah Anda kehilangan semua file Anda?
kehilangan file,mencadangkan file,akankah Anda kehilangan semua file Anda?,"tidak, saya selalu mencadangkan file saya."
mencadangkan file,pintar,"tidak, saya selalu mencadangkan file saya.",kamu pintar.
menelepon hp komputer,,saya menelepon hp tentang komputer saya.,apa yang mereka katakan?
,bilang butuh hard drive,apa yang mereka katakan?,mereka bilang saya butuh hard drive baru.
bilang butuh hard drive,buruk,mereka bilang saya butuh hard drive baru.,itu sangat buruk. berapa yang baru?
buruk,85,itu sangat buruk. berapa yang baru?,"itu tidak terlalu banyak, hanya sekitar $ 85."
85,ditambah instalasi,"itu tidak terlalu banyak, hanya sekitar $ 85.",ditambah instalasi?
ditambah instalasi,hard drive mudah dilepas diganti,ditambah instalasi?,"tidak, hard drive saya mudah dilepas dan diganti."
hard drive mudah dilepas diganti,,"tidak, hard drive saya mudah dilepas dan diganti.",Betulkah?
,ya sekrup,Betulkah?,"ya, itu hanya beberapa sekrup."
ya sekrup,bagus,"ya, itu hanya beberapa sekrup.",itu bagus.
bagus,membayar 60,itu bagus.,itu jauh lebih baik daripada membayar seseorang $ 60.
membayar 60,hard drive rusak menelepon,itu jauh lebih baik daripada membayar seseorang $ 60.,"jika hard drive saya rusak, saya hanya akan menelepon Anda."
alamat email,bluedog123,Apa alamat email Anda?,itu bluedog123.
bluedog123,bluedog123,itu bluedog123.,bluedog123. apakah kamu yakin itu saja?
bluedog123,iya,bluedog123. apakah kamu yakin itu saja?,Iya.
iya,lengkap,Iya.,tidak. itu tidak lengkap.
lengkap,maksudmu,tidak. itu tidak lengkap.,apa maksudmu?
maksudmu,alamat surat,apa maksudmu?,apa alamat surat anda?
alamat surat,456 cherry drive pasadena ca 91170,apa alamat surat anda?,"456 cherry drive, pasadena, ca 91170."
456 cherry drive pasadena ca 91170,,"456 cherry drive, pasadena, ca 91170.",itu benar.
,,itu benar.,jadi apa masalahnya?
,bluedog123 jalan kota negara kode pos,jadi apa masalahnya?,"bluedog123 hanyalah jalan. Anda harus memberi saya kota, negara bagian, dan kode pos."
bluedog123 jalan kota negara kode pos,oh mengerti alamat email bluedog123yahoocom,"bluedog123 hanyalah jalan. Anda harus memberi saya kota, negara bagian, dan kode pos.","oh, saya mengerti. alamat email saya adalah bluedog123@yahoo.com."
tidur siang,mencabut telepon,saya akan tidur siang.,Anda harus mencabut telepon.
mencabut telepon,ide bagus,Anda harus mencabut telepon.,itu ide yang bagus.
ide bagus,membangunkanmu jam,itu ide yang bagus.,apakah kamu ingin aku membangunkanmu dalam satu jam?
membangunkanmu jam,terima kasih biarkan tidur bangun,apakah kamu ingin aku membangunkanmu dalam satu jam?,"tidak, terima kasih. biarkan aku tidur sampai aku bangun."
terima kasih biarkan tidur bangun,makan malam 600,"tidak, terima kasih. biarkan aku tidur sampai aku bangun.",Saya akan mulai makan malam pada pukul 6:00.
makan malam 600,pikir bangun,Saya akan mulai makan malam pada pukul 6:00.,baik. Saya pikir saya akan bangun saat itu.
pikir bangun,hidung membangunkan,baik. Saya pikir saya akan bangun saat itu.,"jika tidak, hidung Anda akan membangunkan Anda."
hidung membangunkan,maksud mencium bau masakan makanan,"jika tidak, hidung Anda akan membangunkan Anda.","Maksud Anda, saya akan mencium bau masakan makanan?"
maksud mencium bau masakan makanan,bermimpi makan malam,"Maksud Anda, saya akan mencium bau masakan makanan?",Anda bahkan mungkin bermimpi tentang makan malam.
bermimpi makan malam,berpikir bermimpi lelah,Anda bahkan mungkin bermimpi tentang makan malam.,Saya tidak berpikir saya akan bermimpi tentang apa pun. saya sangat lelah.
berpikir bermimpi lelah,selamat tidur siang,Saya tidak berpikir saya akan bermimpi tentang apa pun. saya sangat lelah.,selamat tidur siang.
pemakaman bagus,ya ayah,itu adalah pemakaman yang bagus.,"ya, ayah, itu benar."
ya ayah,putranya pidato bagus ayahnya,"ya, ayah, itu benar.",putranya memberikan pidato yang bagus tentang ayahnya.
putranya pidato bagus ayahnya,,putranya memberikan pidato yang bagus tentang ayahnya.,itu juga panjang.
,pikir 45 menit,itu juga panjang.,saya pikir itu sekitar 45 menit.
pikir 45 menit,cepat menarik,saya pikir itu sekitar 45 menit.,tapi itu berlalu dengan cepat. itu menarik.
cepat menarik,menyukainya,tapi itu berlalu dengan cepat. itu menarik.,aku menyukainya.
menyukainya,pidato,aku menyukainya.,Saya akan memberikan pidato seperti itu juga.
pidato,pikir orang pemakaman,Saya akan memberikan pidato seperti itu juga.,apakah Anda pikir ada orang yang akan datang ke pemakaman saya?
pikir orang pemakaman,,apakah Anda pikir ada orang yang akan datang ke pemakaman saya?,tentu saja.
,pikir keluarga,tentu saja.,Saya pikir hanya keluarga yang akan ada di sana.
pikir keluarga,teman,Saya pikir hanya keluarga yang akan ada di sana.,kamu punya banyak teman. mereka juga akan ada di sana!
astaga suara,membuang ingus,astaga! suara apa itu?,saya harus membuang ingus.
membuang ingus,meniup sebelah telepon,saya harus membuang ingus.,Apakah Anda harus meniup tepat di sebelah telepon?
meniup sebelah telepon,dengar,Apakah Anda harus meniup tepat di sebelah telepon?,apa kamu dengar itu?
dengar,mendengarnya pikir pesawat menabrak rumah,apa kamu dengar itu?,tentu saja saya mendengarnya. Saya pikir sebuah pesawat telah menabrak rumah Anda.
mendengarnya pikir pesawat menabrak rumah,keras,tentu saja saya mendengarnya. Saya pikir sebuah pesawat telah menabrak rumah Anda.,tidak terlalu keras.
keras,mengeluarkan ingus untukmu kau lihat,tidak terlalu keras.,"suatu saat aku akan mengeluarkan ingus untukmu, dan kau akan lihat."
mengeluarkan ingus untukmu kau lihat,mengambil katakatamu,"suatu saat aku akan mengeluarkan ingus untukmu, dan kau akan lihat.",baik. aku akan mengambil kata-katamu untuk itu.
mengambil katakatamu,pikir gajah rumah,baik. aku akan mengambil kata-katamu untuk itu.,Saya pikir Anda punya gajah di rumah Anda.
pikir gajah rumah,lucu,Saya pikir Anda punya gajah di rumah Anda.,Anda lucu.
lucu,katamu pikir tuli,Anda lucu.,apa katamu? Saya pikir saya sudah tuli.
katamu pikir tuli,pergi kamar mandi membuang ingus,apa katamu? Saya pikir saya sudah tuli.,Aku pergi ke kamar mandi untuk membuang ingus. aku akan segera kembali.
teman,,saya punya banyak teman.,Betulkah? berapa banyak yang kamu punya?
,seratus,Betulkah? berapa banyak yang kamu punya?,"saya tidak tahu, mungkin seratus."
seratus,teman teman,"saya tidak tahu, mungkin seratus.",itu banyak sekali teman. Apakah kamu punya teman baik?
teman teman,teman,itu banyak sekali teman. Apakah kamu punya teman baik?,tentu saja. saya punya banyak teman baik.
teman,teman,tentu saja. saya punya banyak teman baik.,berapa banyak teman baik yang kamu punya?
teman,berpikir puluh,berapa banyak teman baik yang kamu punya?,saya berpikir tentang dua puluh lima.
berpikir puluh,hmm sahabat,saya berpikir tentang dua puluh lima.,hmm. Saya hanya punya satu sahabat.
hmm sahabat,kasihan,hmm. Saya hanya punya satu sahabat.,Saya merasa kasihan untuk Anda.
kasihan,teman,Saya merasa kasihan untuk Anda.,Saya hanya punya sedikit teman.
teman,kesepian berbagi teman,Saya hanya punya sedikit teman.,kamu pasti kesepian. saya akan berbagi teman saya dengan Anda.
kesepian berbagi teman,,kamu pasti kesepian. saya akan berbagi teman saya dengan Anda.,Anda sangat baik.
selingkuh dariku,,jangan pernah selingkuh dariku.,mengapa saya melakukan itu?
,pria suka selingkuh,mengapa saya melakukan itu?,karena pria suka selingkuh.
pria suka selingkuh,pria melakukannya,karena pria suka selingkuh.,"beberapa pria melakukannya, tapi bukan aku."
pria melakukannya,mengawasimu,"beberapa pria melakukannya, tapi bukan aku.",saya mengawasimu.
mengawasimu,buku terbuka lihat semau,saya mengawasimu.,Saya adalah buku terbuka. lihat aku semau kamu.
buku terbuka lihat semau,menangkap menyesal,Saya adalah buku terbuka. lihat aku semau kamu.,"jika saya menangkap Anda, Anda akan menyesal."
menangkap menyesal,menangkapku mencintaimu penipu,"jika saya menangkap Anda, Anda akan menyesal.","kamu tidak akan menangkapku, karena aku mencintaimu. saya bukan penipu."
menangkapku mencintaimu penipu,menjulurkan matamu,"kamu tidak akan menangkapku, karena aku mencintaimu. saya bukan penipu.",Aku akan menjulurkan matamu. 
menjulurkan matamu,wanita,Aku akan menjulurkan matamu. ,Saya tidak ingin wanita lain.
wanita,memotong jari kakimu,Saya tidak ingin wanita lain.,"Aku akan memotong jari kakimu, satu per satu."
memotong jari kakimu,sayang kumohon satusatunya wanita untukku bersumpah,"Aku akan memotong jari kakimu, satu per satu.","sayang, kumohon. kamu satu-satunya wanita untukku, selamanya. aku bersumpah."
benci pergi,,aku benci pergi keluar.,saya juga.
,benci pergi,saya juga.,kenapa kamu benci pergi keluar?
benci pergi,bertemu brengsek,kenapa kamu benci pergi keluar?,saya bertemu terlalu banyak brengsek.
bertemu brengsek,setuju,saya bertemu terlalu banyak brengsek.,saya setuju.
setuju,kota penuh orang brengsek,saya setuju.,kota ini penuh dengan orang brengsek.
kota penuh orang brengsek,orang kasar dimanamana,kota ini penuh dengan orang brengsek.,orang kasar ada dimana-mana.
orang kasar dimanamana,lakukan,orang kasar ada dimana-mana.,tapi apa yang bisa kamu lakukan?
lakukan,meneriaki,tapi apa yang bisa kamu lakukan?,Anda bisa meneriaki mereka.
meneriaki,berteriak,Anda bisa meneriaki mereka.,dan mereka akan berteriak kembali pada Anda.
berteriak,berteriak gunanya,dan mereka akan berteriak kembali pada Anda.,berteriak tidak ada gunanya.
berteriak gunanya,terbaik tinggal rumah,berteriak tidak ada gunanya.,tidak. hal terbaik untuk dilakukan adalah tinggal di rumah.
formulir,mengalami,akankah kamu melihat formulir ini?,apakah kamu mengalami masalah dengan itu?
mengalami,mengerti,apakah kamu mengalami masalah dengan itu?,saya tidak mengerti beberapa hal.
mengerti,biarkan membantu,saya tidak mengerti beberapa hal.,biarkan saya membantu Anda.
biarkan membantu,mi,biarkan saya membantu Anda.,"apa artinya ""mi""?"
mi,mi singkatan inisial,"apa artinya ""mi""?","""mi"" adalah singkatan dari inisial tengah."
