questions,answers
you know i dont like crowds,let's go to an early movie.
lets go to an early movie,"okay, that won't be very crowded."
okay that wont be very crowded,what would you like to see?
what would you like to see,"oh, i don't care. you're the one who wants to go out."
oh i dont care youre the one who wants to go out,"well, i want to see ""the pursuit of happyness."""
well i want to see the pursuit of happyness,what have you heard about it?
what have you heard about it,it's based on a true story about a divorced man and his young son.
its based on a true story about a divorced man and his young son,"well, i hope it has a happy ending."
whats your favorite thing to do,i like to watch people.
i like to watch people,that's your favorite thing to do?
thats your favorite thing to do,"well, it's one of them."
well its one of them,where do you go to watch people?
where do you go to watch people,my girlfriend and i sit outside starbucks.
my girlfriend and i sit outside starbucks,that sounds like a good spot.
that sounds like a good spot,we watch people walk by with their dogs.
we watch people walk by with their dogs,i guess you see lots of different dogs.
i guess you see lots of different dogs,we don't even know what kind most of them are.
we dont even know what kind most of them are,"there are lots of different kinds, but they all have one thing in common."
there are lots of different kinds but they all have one thing in common,"yes, they love to sniff each other when they meet."
they call him father dollar bill,"yes, he was on the tv news today."
yes he was on the tv news today,every easter sunday he gives away money.
every easter sunday he gives away money,is it his money?
is it his money,no. movie stars give him money to give to homeless people.
no movie stars give him money to give to homeless people,how much money does he give away?
how much money does he give away,"this year he gave away $15,000."
this year he gave away 15000,that's a lot of money.
thats a lot of money,he gave $100 to people in wheelchairs.
he gave 100 to people in wheelchairs,what about the other homeless people?
what about the other homeless people,they got $1 each.
they got 1 each,people stood in line just to get one dollar?!
old movies are the best,even though they're in black and white.
even though theyre in black and white,a good story is more important than color.
a good story is more important than color,actors didn't curse back then.
actors didnt curse back then,and there was no violence.
and there was no violence,people today don't like that.
people today dont like that,"no, today people like lots of action."
no today people like lots of action,i like a good story.
i like a good story,i like to see actors who are like real people.
i like to see actors who are like real people,like real people with real problems.
like real people with real problems,they still make movies like that.
they still make movies like that,"yes, but they never make much money."
do you get pbs on tv,"yes, everybody gets the public broadcasting system."
yes everybody gets the public broadcasting system,it puts me to sleep.
it puts me to sleep,tell me about it.
tell me about it,a gardening show follows a knitting show.
a gardening show follows a knitting show,a cooking show follows a sewing show.
a cooking show follows a sewing show,a travel show follows another travel show.
a travel show follows another travel show,i'll say! i've gone around the world a dozen times already!
ill say ive gone around the world a dozen times already,now they're adding old tv shows to the old movies.
now theyre adding old tv shows to the old movies,i sure would like to see something interesting for a change.
i sure would like to see something interesting for a change,"if more people donate money, pbs could offer new shows."
if more people donate money pbs could offer new shows,who wants to donate? public tv should be free.
i love to watch judge judy,is that a tv show?
is that a tv show,yes. it's on every afternoon.
yes its on every afternoon,what's so good about it?
whats so good about it,they have interesting lawsuits.
they have interesting lawsuits,such as?
such as,"yesterday, a woman complained about a cell phone she bought on ebay."
yesterday a woman complained about a cell phone she bought on ebay,was something wrong with the phone?
was something wrong with the phone,it works only in canada.
it works only in canada,did the seller know that?
did the seller know that,"yes, and he didn't tell the buyer."
yes and he didnt tell the buyer,i hope judge judy made the seller take the phone back.
